,batch_size,Actual GPU memory,GPUMemNet ,FakeTensor,Horus
vgg16,32,8222,16000,3121.344643,21525.8262
,128,24408,24000,9894.398354,82119.9297
resnet50,32,5262,16000,2672.516029,7903.9316
,128,15120,24000,10666.00724,28923.25
Xception,32,7202,16000,4166.470619,8531.7305
,128,22978,24000,16641.80949,31465.3574
mobilenetV2,32,4544,8000,2425.279457,3617.0674
,128,12578,16000,9686.067543,12028.1592
efficientnet,32,4958,8000,2730.012856,3864.9053
,128,13832,16000,10904.91068,12999.0977
inception,32,6346,8000,1590.304115,5990.3652
,128,19018,16000,6298.154701,21288.6953
BERT_base,32,20774,32000,-,17456.9336
BERT_large,8,13568,24000,-,13349.4346
xlnet_base,8,9718,16000,-,3661.7393
xlnet_large,4,14546,16000,-,5325.0273
gpt2_large,8,27902,48000,-,127676.625
gpt2_xl,2,36206,48000,-,22847.0625
